                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
171,1.2265,0.8046,1.01,0.58836,0.48445,0.50926,0.31557,1.2449,0.86939,1.0237,0.0057925,0.0057925,0.0057925
172,1.228,0.80328,1.0096,0.59191,0.48302,0.50955,0.31578,1.2448,0.8691,1.0237,0.0057678,0.0057678,0.0057678
173,1.2317,0.80334,1.0092,0.59112,0.48435,0.5097,0.31583,1.2447,0.86903,1.0237,0.005743,0.005743,0.005743
174,1.2279,0.80599,1.008,0.58799,0.48598,0.50976,0.31597,1.2447,0.86905,1.0238,0.0057183,0.0057183,0.0057183
175,1.2277,0.80487,1.009,0.58896,0.48502,0.50956,0.31616,1.2448,0.86882,1.0238,0.0056935,0.0056935,0.0056935
176,1.2218,0.79906,1.0084,0.59336,0.48269,0.50957,0.31624,1.245,0.86895,1.0238,0.0056688,0.0056688,0.0056688
177,1.221,0.79975,1.0069,0.59107,0.48444,0.50983,0.31636,1.2451,0.86873,1.0239,0.005644,0.005644,0.005644
178,1.2173,0.79441,1.0079,0.58797,0.48781,0.51005,0.31647,1.245,0.86878,1.0239,0.0056193,0.0056193,0.0056193
179,1.2218,0.79626,1.0068,0.58521,0.48974,0.51041,0.3165,1.245,0.86855,1.0239,0.0055945,0.0055945,0.0055945
180,1.2221,0.79412,1.0066,0.58693,0.48749,0.51048,0.31669,1.245,0.86835,1.0238,0.0055698,0.0055698,0.0055698
181,1.2227,0.79623,1.0071,0.59095,0.48484,0.51056,0.31665,1.245,0.8683,1.0238,0.005545,0.005545,0.005545
182,1.2227,0.79367,1.0057,0.58945,0.48731,0.51057,0.31663,1.2448,0.86833,1.0238,0.0055202,0.0055202,0.0055202
183,1.2208,0.79072,1.0035,0.58547,0.49088,0.51052,0.3166,1.245,0.86806,1.0238,0.0054955,0.0054955,0.0054955
184,1.2121,0.78617,1.0031,0.58605,0.49131,0.51065,0.31661,1.245,0.86796,1.0237,0.0054707,0.0054707,0.0054707
185,1.2193,0.79017,1.0048,0.58745,0.48999,0.51075,0.31672,1.2449,0.8679,1.0237,0.005446,0.005446,0.005446
186,1.2164,0.7867,1.0021,0.58813,0.49062,0.5108,0.31659,1.2449,0.86782,1.0236,0.0054212,0.0054212,0.0054212
187,1.2144,0.78729,1.0056,0.58676,0.49144,0.51104,0.31684,1.2446,0.86776,1.0235,0.0053965,0.0053965,0.0053965
188,1.2111,0.7823,1.0024,0.5877,0.492,0.51116,0.31686,1.2448,0.86777,1.0235,0.0053717,0.0053717,0.0053717
189,1.2134,0.78409,1.0036,0.58717,0.49153,0.5112,0.31691,1.2448,0.8674,1.0235,0.005347,0.005347,0.005347
190,1.2125,0.78215,1.0029,0.58667,0.49166,0.5112,0.31671,1.2448,0.86744,1.0234,0.0053223,0.0053223,0.0053223
